run_id,voxel_size_scan,voxel_size_map,ndt_cell_size,ndt_iterations,r_scan,r_map,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
1,0.2,0.3,1.0,5,1.0,2.0,"[550, 650]","[0, 7]",,,1.2171190499711475,0.6360017620978546,0.006988296441182323,-0.004885692939444415,0.65973299741745
2,0.2,0.3,1.0,5,1.0,3.0,"[550, 650]","[0, 7]",,,1.3380712305686064,0.5909662685169979,3.294170802016841e-05,-0.0026143898877757435,0.6228823363780975
3,0.2,0.3,1.0,5,1.0,4.0,"[550, 650]","[0, 7]",,,1.2084603509795615,0.5725815285207237,0.00034452534013275707,-0.0012993657689153472,0.5980303684870402
4,0.2,0.3,1.0,5,1.5,2.0,"[550, 650]","[0, 7]",,,1.6160615297739886,0.5384124984040888,0.03227692125622809,0.010556668941237982,0.5060888358524868
5,0.2,0.3,1.0,5,1.5,3.0,"[550, 650]","[0, 7]",,,1.3075405991972346,0.8070790330780371,3.404686986941893e-05,-0.024332869762572724,0.4261016845703125
6,0.2,0.3,1.0,5,1.5,4.0,"[550, 650]","[0, 7]",,,1.2502315244536661,0.3927749849957749,0.0007690358226376988,-0.0007027863278876242,0.47321386337280275
7,0.2,0.3,1.0,5,2.0,2.0,"[550, 650]","[0, 7]",,,1.4473313577746838,0.6216547244849535,0.023795273960983174,0.00676542023380854,0.5122716665267945
8,0.2,0.3,1.0,5,2.0,3.0,"[550, 650]","[0, 7]",,,1.2213096591515575,0.5606682072823274,0.0027135817277477575,-0.0009011852812350103,0.5094416517960397
9,0.2,0.3,1.0,5,2.0,4.0,"[550, 650]","[0, 7]",,,1.2622405829367689,0.4703562970783583,0.05731648284096602,-0.000724554553657146,0.461734135945638
10,0.2,0.3,1.0,15,1.0,2.0,"[550, 650]","[0, 7]",,,1.2171204400558395,0.6360021562414269,0.006988296441182323,-0.004885684464892836,2.0366741716861725
11,0.2,0.3,1.0,15,1.0,3.0,"[550, 650]","[0, 7]",,,1.2144670389178795,0.6729498958175893,3.294756442545621e-05,-0.014381532698956593,1.917235294977824
