run_id,voxel_size_scan,voxel_size_map_factor,ndt_cell_size,ndt_iterations,r_scan,r_map,zlim_min,zlim_max,voxel_size_map,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
1,0.1,0.5,4,10,1.5,3.0,0.0,7.0,0.05,"[550, 650]","[0.0, 7.0]",,,1.3677172968490279,0.665199601798318,0.001728900000000002,0.0007955142857142872,2.7836775382359824
2,0.1,1,4,10,1.5,3.0,0.0,7.0,0.1,"[550, 650]","[0.0, 7.0]",,,1.2553717690285655,0.6252733215939656,0.001814709070914109,0.0007682910166859928,2.767486367906843
3,0.1,2.0,4,10,1.5,3.0,0.0,7.0,0.2,"[550, 650]","[0.0, 7.0]",,,1.3255395776263923,0.6121490271773612,0.0011716240623254777,0.000400798895611911,2.673859323774065
4,0.1,3.0,4,10,1.5,3.0,0.0,7.0,0.30000000000000004,"[550, 650]","[0.0, 7.0]",,,1.2476332140253112,0.5804666284008262,0.001063549446790539,0.000331231940198748,2.6609045267105103
5,0.1,4.0,4,10,1.5,3.0,0.0,7.0,0.4,"[550, 650]","[0.0, 7.0]",,,1.236123262271026,0.6737895160734836,0.005889090244077818,0.0015973540676618551,2.60501766204834
6,0.25,0.5,4,10,1.5,3.0,0.0,7.0,0.125,"[550, 650]","[0.0, 7.0]",,,1.2422053120602996,0.5867865128363904,0.003920321247861805,0.0010422367953546324,2.1778883139292398
7,0.25,1,4,10,1.5,3.0,0.0,7.0,0.25,"[550, 650]","[0.0, 7.0]",,,1.2349663610098238,0.5769919903555346,0.005881499640757881,0.002444612906410589,2.1945517857869468
8,0.25,2.0,4,10,1.5,3.0,0.0,7.0,0.5,"[550, 650]","[0.0, 7.0]",,,0.842946947620736,0.5200736737127916,-0.0004589539696271405,-0.00782686631441532,1.8318801856040954
9,0.25,3.0,4,10,1.5,3.0,0.0,7.0,0.75,"[550, 650]","[0.0, 7.0]",,,1.2212867646784313,0.6507385293374843,-0.001758670368151749,-0.0030990857361465453,1.9495991638728551
10,0.25,4.0,4,10,1.5,3.0,0.0,7.0,1.0,"[550, 650]","[0.0, 7.0]",,,1.2705702160607486,0.7253923071715928,0.0009419330912780847,-0.0034618822771635286,1.8503311691862163
