run_id,voxel_size_scan,voxel_size_map_factor,ndt_cell_size,ndt_iterations,r_scan,r_map_factor,zlim_min,zlim_max,voxel_size_map,r_map,frame_range,zlims,ylim,xlim,max_lateral_error,mean_lateral_error,max_yaw_error,mean_yaw_error,mean_computation_time
1,0.25,1.8,4,10,1.3,1.8,0.0,7.0,0.45,2.3400000000000003,"[550, 650]","[0.0, 7.0]",,,1.382013409359361,0.6431375156771055,0.007757628142506166,7.858263312210593e-05,2.161131739616394
2,0.25,1.8,4,10,1.3,2.0,0.0,7.0,0.45,2.6,"[550, 650]","[0.0, 7.0]",,,1.2804370216608172,0.583528625695676,0.0061629281105746985,0.0003742585881624859,2.133913427591324
3,0.25,1.8,4,10,1.3,2.2,0.0,7.0,0.45,2.8600000000000003,"[550, 650]","[0.0, 7.0]",,,1.2204344284628421,0.5579783937140479,0.0008567325188566441,-0.0012228818896126603,2.13556569814682
4,0.25,1.8,4,10,1.5,1.8,0.0,7.0,0.45,2.7,"[550, 650]","[0.0, 7.0]",,,1.3213158199433201,0.6023275442246584,0.00846331233700992,0.001368515439139596,2.0776597559452057
5,0.25,1.8,4,10,1.5,2.0,0.0,7.0,0.45,3.0,"[550, 650]","[0.0, 7.0]",,,1.2985805757461435,0.6182566992171429,0.007815897011258703,0.0037728135771390413,2.055736223856608
6,0.25,1.8,4,10,1.5,2.2,0.0,7.0,0.45,3.3000000000000003,"[550, 650]","[0.0, 7.0]",,,1.2501514355978087,0.5639325189396936,0.0056447720614572604,-0.0005750858747923345,2.0686489939689636
7,0.25,1.8,4,10,1.7,1.8,0.0,7.0,0.45,3.06,"[550, 650]","[0.0, 7.0]",,,1.3599864753771873,0.6361262706422433,0.009378712360151604,0.0003929201656912172,2.0075841546058655
8,0.25,1.8,4,10,1.7,2.0,0.0,7.0,0.45,3.4,"[550, 650]","[0.0, 7.0]",,,1.3760828211558647,0.6134039668426158,0.000929147383653444,-0.0015900148729787204,1.9958866238594055
9,0.25,1.8,4,10,1.7,2.2,0.0,7.0,0.45,3.74,"[550, 650]","[0.0, 7.0]",,,1.299745217807992,0.7149616727140646,0.019430569292318844,0.0073561171682780336,1.9929777383804321
10,0.25,2.0,4,10,1.3,1.8,0.0,7.0,0.5,2.3400000000000003,"[550, 650]","[0.0, 7.0]",,,1.2483719245369858,0.7293520055701339,0.005906337664856334,-0.0007838753399694451,2.027912325329251
11,0.25,2.0,4,10,1.3,2.0,0.0,7.0,0.5,2.6,"[550, 650]","[0.0, 7.0]",,,0.9676887613344499,0.5016526727833908,0.0011636226644304165,-0.008825971241066077,1.9087987160682678
12,0.25,2.0,4,10,1.3,2.2,0.0,7.0,0.5,2.8600000000000003,"[550, 650]","[0.0, 7.0]",,,1.0213384776217314,0.5020205591220421,-0.0005893125037286437,-0.008674036327005951,1.8937611889839172
13,0.25,2.0,4,10,1.5,1.8,0.0,7.0,0.5,2.7,"[550, 650]","[0.0, 7.0]",,,1.0224406346406738,0.5145621356568055,0.024877241485773874,0.003239025405805744,9.816369245052337
14,0.25,2.0,4,10,1.5,2.0,0.0,7.0,0.5,3.0,"[550, 650]","[0.0, 7.0]",,,0.842946947620736,0.5200736737127916,-0.0004589539696271405,-0.00782686631441532,1.8169247174263001
15,0.25,2.0,4,10,1.5,2.2,0.0,7.0,0.5,3.3000000000000003,"[550, 650]","[0.0, 7.0]",,,0.9398046375903321,0.47992454910614035,9.23375869166243e-06,-0.007530164148166441,1.8368748068809508
16,0.25,2.0,4,10,1.7,1.8,0.0,7.0,0.5,3.06,"[550, 650]","[0.0, 7.0]",,,0.8655526362899835,0.5059830936363428,-0.0005542669460577299,-0.007573610699902342,2.083819098472595
17,0.25,2.0,4,10,1.7,2.0,0.0,7.0,0.5,3.4,"[550, 650]","[0.0, 7.0]",,,1.1372399856620516,0.4923323038910181,6.628416494125489e-05,-0.0069153398828880105,9.020854282379151
18,0.25,2.0,4,10,1.7,2.2,0.0,7.0,0.5,3.74,"[550, 650]","[0.0, 7.0]",,,0.8484180901865789,0.40260919580994575,-0.0004361601815314996,-0.0076238933787072805,1.8073184442520143
19,0.25,2.2,4,10,1.3,1.8,0.0,7.0,0.55,2.3400000000000003,"[550, 650]","[0.0, 7.0]",,,1.2676809431560048,0.5940355664427018,0.001101064483610019,0.0003396628102257516,2.1970189809799194
20,0.25,2.2,4,10,1.3,2.0,0.0,7.0,0.55,2.6,"[550, 650]","[0.0, 7.0]",,,1.2674656318945499,0.5938093996919321,0.0011203538460358119,0.0003534439462273657,2.2005555232365928
21,0.25,2.2,4,10,1.3,2.2,0.0,7.0,0.55,2.8600000000000003,"[550, 650]","[0.0, 7.0]",,,1.2671318193395653,0.5935252846996016,0.0011179317993703537,0.0003516119602921585,2.236243645350138
22,0.25,2.2,4,10,1.5,1.8,0.0,7.0,0.55,2.7,"[550, 650]","[0.0, 7.0]",,,1.2673404091175984,0.5936702331212177,0.001127688235212889,0.0003586827014044752,2.2272497018178306
23,0.25,2.2,4,10,1.5,2.0,0.0,7.0,0.55,3.0,"[550, 650]","[0.0, 7.0]",,,1.2670492098827153,0.5934500424367207,0.001117778026867692,0.0003512655328689671,2.146613677342733
24,0.25,2.2,4,10,1.5,2.2,0.0,7.0,0.55,3.3000000000000003,"[550, 650]","[0.0, 7.0]",,,1.266964733530389,0.5933477019140107,0.0011259065962966573,0.0003572040666942001,2.1512771050135293
